track_name,artist,genre,popularity,duration_ms,energy,valence,danceability,mode
Chair help forward,Christopher Higgins,pop,5,160879,0.8,0.37,0.23,0
Pm experience song,William Rivera,rock,16,288466,0.88,0.88,0.83,1
Long follow big reach,William Livingston,classical,26,121460,0.32,0.48,0.52,1
Often campaign,Edward Mitchell,folk,23,298780,0.1,0.3,0.85,1
Until attack,Ebony Frey,metal,79,248615,0.14,0.96,0.69,0
Full threat generation,John Evans,metal,81,235622,0.72,0.29,0.41,0
None course mother,Jennifer Mcpherson,hip hop,65,163963,0.92,0.29,0.95,0
Become book,Nichole Drake,folk,22,262439,0.81,0.11,0.13,0
Finish score,Erika Norton,hip hop,77,157542,0.88,0.65,0.63,0
Action source discuss me,Kathryn Ruiz,pop,94,122127,0.89,0.52,0.42,1
Improve painting,Nichole Drake,hip hop,91,264899,0.46,0.02,0.17,1
Religious campaign control,Jennifer Black,metal,90,142830,0.67,0.18,0.18,1
Drop city summer,Janice Schaefer,reggae,41,188246,0.75,0.36,0.63,1
Never perform throw,Kathryn Ruiz,hip hop,19,269741,0.94,0.33,0.62,1
Few law,Brandi Yates,metal,70,183200,0.73,0.39,0.55,0
Whatever president,Marvin Shaw,reggae,82,242885,0.18,0.46,0.22,1
Thousand manager,Darrell Lewis,electronic,83,272713,0.97,0.96,0.93,1
Price between back,Jesse Mccarthy,hip hop,19,271164,0.96,0.91,0.21,1
Door available become,Abigail Watkins,hip hop,93,231961,0.8,0.66,0.59,1
Star early,Mr. Norman Bender DDS,electronic,70,157715,0.24,0.17,0.65,0
Movie there level itself,Nichole Drake,folk,40,265737,0.94,0.27,0.12,1
Stage,Donna Ellis,reggae,20,223044,0.29,0.94,0.57,1
Participant drop,Darrell Lewis,jazz,99,250578,0.61,0.73,0.18,1
Become call,Wesley Nelson,reggae,23,269695,0.17,0.07,0.06,0
Claim campaign,David Baker,reggae,67,250469,0.72,0.21,0.71,1
Hand himself information,Ebony Frey,hip hop,71,256038,0.24,0.15,0.81,0
He,Jennifer Mcpherson,hip hop,50,134231,0.55,0.17,0.88,1
Power visit,Alyssa Kelley,folk,77,299834,0.88,0.52,0.51,1
Civil according,Amanda Huffman,classical,26,217568,0.67,0.36,0.24,1
Phone approach,David Baker,pop,98,130600,0.2,0.28,0.3,1
Be,Darrell Lewis,rock,73,204078,0.11,0.07,0.84,0
Main color great,Nicholas Meyer,electronic,73,144528,0.02,0.15,0.58,1
Box particularly itself,Roberto Heath,pop,38,172124,0.48,0.65,0.73,0
Guy capital shake floor,Jesus Flores,pop,25,121287,0.58,0.99,0.08,1
Certain case,Kathryn Holloway,rock,14,158059,0.4,0.63,0.73,0
Human listen expect its,Lacey Shaw,electronic,15,240676,0.41,0.75,0.14,0
Environment yes these,Marvin Shaw,rock,14,220291,0.4,0.13,0.18,0
Already it hope,John Evans,pop,17,209899,0.66,0.93,0.76,0
